6Digit,8-0-7-1-1-7,1/23/2014,"706,655.34",0
6Digit,3-9-4-5-7-9,1/25/2014,"985,818.74",0
6Digit,3-2-9-3-7-1,1/28/2014,"1,360,329.16",0
6Digit,0-9-6-5-4-0,1/30/2014,"1,638,587.96",0
6Digit,9-2-1-2-4-1,2/1/2014,"1,688,587.96",0
6Digit,5-0-5-9-0-6,2/4/2014,"2,102,483.86",0
6Digit,5-4-2-8-9-0,2/6/2014,"2,337,766.36",0
6Digit,3-3-3-7-8-3,2/8/2014,"2,387,766.36",0
6Digit,9-4-8-8-3-6,2/11/2014,"2,740,121.40",0
6Digit,0-9-4-0-9-2,2/13/2014,"3,096,373.24",0
6Digit,1-5-9-7-4-9,2/15/2014,"3,402,379.38",0
6Digit,1-6-8-7-3-6,2/18/2014,"3,694,598.92",0
6Digit,4-5-8-0-0-4,2/20/2014,"4,076,776.22",0
6Digit,1-4-3-9-9-3,2/22/2014,"4,316,927.94",0
6Digit,5-8-6-6-0-6,2/25/2014,"4,497,144.30",0
6Digit,0-2-9-6-0-4,2/27/2014,"4,768,617.72",0
6Digit,6-0-2-7-1-8,3/1/2014,"4,904,827.54",0
6Digit,7-2-7-3-8-9,3/4/2014,"5,277,062.92",0
6Digit,9-3-2-8-5-3,3/6/2014,"5,553,441.72",0
6Digit,5-6-6-8-2-3,3/8/2014,"5,856,215.90",0
6Digit,4-9-1-1-8-7,3/11/2014,"6,128,662.84",0
6Digit,7-9-8-3-1-7,3/13/2014,"6,371,496.88",0
6Digit,8-3-3-4-9-6,3/15/2014,"6,817,366.38",0
6Digit,2-0-1-1-4-8,3/18/2014,"6,867,366.38",0
6Digit,9-0-7-9-4-3,3/20/2014,"7,335,045.54",0
6Digit,8-4-5-1-5-3,3/22/2014,"7,612,268.24",0
